path,face_count,eye_sharpness_min,eye_sharpness_max,whole_image_sharpness,fallback_used
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4342.JPG,0,,,688.6949,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4343.JPG,0,,,725.3752,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4344.JPG,1,6.5254,8.2983,650.343,False
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4345.JPG,0,,,720.009,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4346.JPG,1,7.4842,14.5816,715.4092,False
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4347.JPG,0,,,681.1266,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4348.JPG,0,,,662.5075,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4349.JPG,0,,,670.3661,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4350.JPG,0,,,579.3033,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4351.JPG,0,,,408.122,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4352.JPG,0,,,623.4564,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4353.JPG,0,,,407.1415,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4354.JPG,0,,,588.4156,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4355.JPG,0,,,570.8425,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4356.JPG,0,,,373.0353,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4357.JPG,0,,,533.6971,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4358.JPG,0,,,558.4037,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4359.JPG,0,,,561.2095,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4360.JPG,0,,,560.9233,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4361.JPG,0,,,522.4819,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4362.JPG,0,,,304.963,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4363.JPG,0,,,303.4107,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4364.JPG,0,,,708.9885,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4365.JPG,0,,,704.5148,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4366.JPG,0,,,664.1471,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4367.JPG,0,,,341.7494,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4368.JPG,0,,,585.3542,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4369.JPG,0,,,429.3384,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4370.JPG,0,,,324.5839,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4371.JPG,0,,,617.7238,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4372.JPG,0,,,578.993,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4373.JPG,1,2.5464,3.054,498.8774,False
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4374.JPG,1,1.4996,2.5447,221.7415,False
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4375.JPG,0,,,271.8722,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4376.JPG,0,,,779.2697,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4377.JPG,0,,,239.5749,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4378.JPG,0,,,701.8359,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4379.JPG,0,,,650.698,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4380.JPG,0,,,658.8836,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4381.JPG,0,,,443.1381,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4382.JPG,0,,,474.3223,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4383.JPG,0,,,590.6195,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4384.JPG,0,,,581.2846,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4385.JPG,0,,,392.7315,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4386.JPG,0,,,277.7659,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4387.JPG,0,,,261.955,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4388.JPG,0,,,269.1763,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4389.JPG,0,,,119.4388,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4390.JPG,0,,,147.7519,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4391.JPG,0,,,121.476,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4392.JPG,0,,,90.4593,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4393.JPG,0,,,167.4641,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4396.JPG,0,,,293.1555,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4397.JPG,1,2.4309,52.8037,503.8542,False
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4398.JPG,1,2.3318,27.6903,432.4219,False
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4399.JPG,1,2.7551,5.0257,179.5352,False
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4400.JPG,1,1.7964,4.3759,189.2351,False
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4401.JPG,0,,,204.1608,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4402.JPG,0,,,172.2177,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4403.JPG,0,,,159.4898,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4404.JPG,0,,,154.6712,True
/Users/ak/Documents/coding/photography_code/triage-keepers/temp/IMG_4405.JPG,0,,,193.9664,True
